,company,rating,location,headquarters,company_size,revenue,glassdoor_awards,other_awards,interview_difficulty
293,Tripadvisor,3.7,"['MA', 'CA', 'NJ', 'NV', 'CA', 'MA', 'MA', 'NY', 'MA', 'MA', 'Canada', 'CA', 'MA']","Needham, MA",1001 to 5000 employees, $1 to $2 billion (USD) per year,0,1,3
294,ECS,3.7,"['VA', 'VA', 'VA', 'VA', 'VA', 'AL', 'VA', 'MD', 'TN', 'VA', 'OK', 'SC', 'FL', 'VA', 'VA', 'VA']","Fairfax, VA",1001 to 5000 employees, $500 million to $1 billion (USD) per year,0,1,2
295,Workiva,3.7,"['IA', 'MT', 'IL', 'CO', 'NY', 'AZ', 'AZ']","Ames, IA",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.9
296,Cybage Software,3.7,"['TX', 'GA', 'CA', 'NJ', 'NJ', 'WA', 'Canada']",Pune (India),5001 to 10000 employees, Unknown / Non-Applicable,0,1,2.9
297,CitiusTech,3.7,"['IL', 'TN', 'CA', 'CA']",Mumbai (India),1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,3
298,Carbon Black,3.7,"['MA', 'CO', 'OR', 'TX', 'MA']","Waltham, MA",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,3
299,ServiceNow,3.7,"['MA', 'IL', 'TX', 'WA', 'CA', 'NY', 'FL', 'OR', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'WA', 'MA', 'DC']","Santa Clara, CA",10000+ employees, $2 to $5 billion (USD) per year,0,1,2.9
300,Logicalis,3.5,"['MI', 'MI', 'IL', 'OH', 'MI', 'MI', 'NY', 'AZ', 'OH']","Slough, Berkshire, South East England, England (UK)",1001 to 5000 employees, $1 to $2 billion (USD) per year,0,1,2.8
301,Tripadvisor,3.7,"['MA', 'CA', 'NJ', 'NV', 'CA', 'MA', 'MA', 'NY', 'MA', 'MA', 'Canada', 'CA', 'MA']","Needham, MA",1001 to 5000 employees, $1 to $2 billion (USD) per year,0,1,3
302,ServiceNow,3.7,"['MA', 'IL', 'TX', 'WA', 'CA', 'NY', 'FL', 'OR', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'WA', 'MA', 'DC']","Santa Clara, CA",10000+ employees, $2 to $5 billion (USD) per year,0,1,2.9
303,CitiusTech,3.7,"['IL', 'TN', 'CA', 'CA']",Mumbai (India),1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,3
304,Softchoice,3.7,"['GA', 'IL', 'TX', 'NY', 'GA', 'CA', 'CA', 'WA']","Toronto, ON (Canada)",1001 to 5000 employees, $1 to $2 billion (USD) per year,0,1,2.7
305,Parsons Corporation,3.6,"['MD', 'SC', 'MD', 'VA', 'MD', 'MA', 'VA', 'CA', 'VA', 'NC', 'IL', 'MD', 'CA', 'VA', 'VA', 'MD', 'TX', 'AL', 'SD', 'CA', 'CA', 'NY', 'CA', 'VA', 'TX', 'CA', 'CA', 'NJ', 'VA']","Centreville, VA",10000+ employees, $2 to $5 billion (USD) per year,0,1,2.6
306,Xoriant,3.7,"['TX', 'MI', 'NJ', 'CA', 'NY', 'CA', 'CA', 'CA', 'CA', 'WA', 'CA']","Sunnyvale, CA",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,3
307,Esri,3.6,"['NC', 'CO', 'MN', 'OR', 'CA', 'TX', 'VA', 'DC']","Redlands, CA",1001 to 5000 employees, $1 to $2 billion (USD) per year,0,1,2.9
308,L.L. Bean,3.7,"['ME', 'MA', 'ME', 'MA', 'IL', 'OH', 'MA', 'NJ', 'ME', 'KS', 'MA', 'NJ', 'VA', 'NJ', 'ME', 'VA', 'PA', 'VA', 'IL', 'IL', 'CT', 'VA', 'VA', 'MA', 'NY']","Freeport, ME",1001 to 5000 employees, $1 to $2 billion (USD) per year,0,1,2.3
309,Cypress Semiconductor,3.6,"['TX', 'MN', 'CO', 'KY', 'WA', 'WA', 'MN', 'CA', 'CA', 'WA']","San Jose, CA",5001 to 10000 employees, $1 to $2 billion (USD) per year,0,1,3.3
310,PK,3.6,"['GA', 'WA', 'WA', 'CO', 'NE', 'OR', 'WA']","Omaha, NE",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,3
311,Sirius Computer Solutions,3.7,"['TX', 'IL', 'TX', 'TX', 'CA', 'CA', 'MN', 'NE', 'WA', 'TX', 'IL']","San Antonio, TX",1001 to 5000 employees, $2 to $5 billion (USD) per year,0,1,3.1
312,Cruise,3.7,"['AZ', 'CA', 'AZ', 'WA']","San Francisco, CA",1001 to 5000 employees, Unknown / Non-Applicable,0,0,2.8
313,Continuum,3.6,"['MA', 'PA', 'PA', 'GA', 'TX', 'PA']","Boston, MA",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.8
314,Enel X,3.6,"['MD', 'OR', 'ID', 'MA', 'IL', 'OH', 'WA', 'NY', 'Canada', 'Canada', 'NY', 'CA', 'CA', 'WA', 'MA']",Rome (Italy),1001 to 5000 employees, $100 to $500 million (USD) per year,1,1,3
315,Vrbo,3.6,"['TX', 'CO']","Austin, TX",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.9
316,Vitech Systems Group,3.7,"['NJ', 'NJ', 'NY', 'OK']","New York, NY",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.8
317,IAC,3.7,"['NJ', 'CA', 'NY', 'NY', 'NY', 'NY', 'CA', 'CA', 'CA', 'NY', 'NY']","New York, NY",5001 to 10000 employees, $2 to $5 billion (USD) per year,0,1,2.9
318,Dolby,3.6,"['CA', 'CA', 'CA', 'CA']","San Francisco, CA",1001 to 5000 employees, $1 to $2 billion (USD) per year,0,1,2.9
319,Hexagon,3.6,"['GA', 'GA', 'Canada', 'TX', 'AL', 'AL', 'Canada', 'GA', 'GA', 'RI', 'CA', 'RI', 'VA', 'GA', 'MI']",NA,NA,NA,NA,NA,NA
320,Avid Technology,3.6,"['MA', 'MA', 'CA', 'Canada', 'NY', 'MA']","Burlington, MA",1001 to 5000 employees, $500 million to $1 billion (USD) per year,0,1,3
321,SPS Commerce,3.5,"['Canada', 'NJ', 'MN']","Minneapolis, MN",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.9
322,Synechron,3.6,"['NC', 'TX', 'FL', 'NJ', 'TN', 'NY', 'NJ', 'NJ', 'CA', 'CA', 'VA', 'FL', 'Canada']","New York, NY",5001 to 10000 employees, $100 to $500 million (USD) per year,0,1,3
323,Moody's,3.6,"['NY', 'NC', 'NY', 'CA', 'CA']","New York, NY",10000+ employees, $2 to $5 billion (USD) per year,0,1,2.9
324,FusionStorm,3.6,"['PA', 'MA', 'CA', 'NY', 'CA', 'CA']","San Francisco, CA",10000+ employees, $5 to $10 billion (USD) per year,0,1,2.8
325,Proofpoint,3.6,"['TX', 'CO', 'UT', 'IN', 'PA', 'UT', 'CA', 'CA', 'UT', 'CA', 'Canada', 'UT']","Sunnyvale, CA",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.7
326,RSA Security,3.6,"['MA', 'VA', 'KS', 'VA']","Bedford, MA",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,3
327,Cloudera,3.6,"['GA', 'TX', 'WA', 'MA', 'NY', 'IL', 'Mexico', 'CA', 'VA', 'FL', 'Mexico', 'NH', 'NY', 'CA', 'TX', 'NC', 'CA', 'CA', 'CA', 'Canada', 'VA', 'DC']","Palo Alto, CA",1001 to 5000 employees, $100 to $500 million (USD) per year,1,1,3.1
328,Teradata,3.6,"['GA', 'GA', 'TX', 'WA', 'MA', 'IL', 'TX', 'OH', 'OH', 'OH', 'OH', 'OH', 'GA', 'CA', 'CA', 'IN', 'IN', 'TX', 'NJ', 'CA', 'OH', 'Canada', 'NY', 'NC', 'NC', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'WA', 'Canada', 'DC']","San Diego, CA",10000+ employees, $2 to $5 billion (USD) per year,0,1,2.9
329,Yash Technologies,3.6,"['MA', 'IL', 'IL', 'IL']","East Moline, IL",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,3
330,HTC Global Services,3.6,"['IL', 'MI', 'MI', 'CT', 'WI', 'CA', 'MI']","Troy, MI",10000+ employees, Unknown / Non-Applicable,0,0,2.6
331,Mimecast,3.6,"['IL', 'TX', 'MA', 'CA']","Lexington, MA",1001 to 5000 employees, $500 million to $1 billion (USD) per year,0,1,2.6
332,Geometric,3.9,"['MI', 'IL', 'TX']",NA,NA,NA,NA,NA,NA
333,Mindbody,3.5,"['GA', 'TX', 'CA', 'PA', 'NY', 'CA', 'CA', 'CA', 'CA', 'AZ']","San Luis Obispo, CA",1001 to 5000 employees, Unknown / Non-Applicable,1,1,2.7
334,Verint Systems,3.5,"['GA', 'GA', 'MD', 'MA', 'IL', 'CO', 'GA', 'NY', 'NY', 'KS', 'GA', 'CA', 'CA']","Melville, NY",1001 to 5000 employees, $1 to $2 billion (USD) per year,0,0,2.8
335,Accruent,3.6,"['TX', 'MA', 'CO', 'MN', 'LA', 'AZ']","Austin, TX",1001 to 5000 employees, $100 to $500 million (USD) per year,1,1,2.7
336,Vonage,3.5,"['GA', 'TX', 'NJ', 'NJ', 'NJ', 'GA', 'NJ', 'NJ', 'NY', 'AZ', 'CA', 'AZ']","Holmdel, NJ",1001 to 5000 employees, $1 to $2 billion (USD) per year,0,1,2.7
337,MediaTek,3.7,"['TX', 'CA', 'MA']",Hsinchu (Taiwan),10000+ employees, $5 to $10 billion (USD) per year,0,0,2.9
338,Agero,3.7,"['TN', 'MA', 'TN', 'TX', 'MA', 'AZ']","Medford, MA",1001 to 5000 employees, $500 million to $1 billion (USD) per year,0,1,2.7
339,Hyland,3.6,"['GA', 'MA', 'CA', 'OH', 'MN', 'OH', 'CO', 'CA', 'MI', 'KS', 'NE', 'AZ', 'CA', 'UT', 'FL', 'Canada', 'OH']","Westlake, OH",1001 to 5000 employees, $500 million to $1 billion (USD) per year,0,1,2.8
340,Teradata,3.6,"['GA', 'GA', 'TX', 'WA', 'MA', 'IL', 'TX', 'OH', 'OH', 'OH', 'OH', 'OH', 'GA', 'CA', 'CA', 'IN', 'IN', 'TX', 'NJ', 'CA', 'OH', 'Canada', 'NY', 'NC', 'NC', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'WA', 'Canada', 'DC']","San Diego, CA",10000+ employees, $2 to $5 billion (USD) per year,0,1,2.9
341,HTC Global Services,3.6,"['IL', 'MI', 'MI', 'CT', 'WI', 'CA', 'MI']","Troy, MI",10000+ employees, Unknown / Non-Applicable,0,0,2.6
342,McAfee,3.6,"['OR', 'TX', 'CO', 'CO', 'VA', 'OR', 'ID', 'TX', 'CA', 'NY', 'TX', 'VA', 'MN', 'CA', 'CA', 'CA', 'DC', 'Canada']","Santa Clara, CA",5001 to 10000 employees, $10+ billion (USD) per year,0,1,3
343,Veeam Software,3.9,"['GA', 'GA', 'IL', 'OH', 'CA', 'AZ']","Baar, Zug (Switzerland)",1001 to 5000 employees, $1 to $2 billion (USD) per year,0,1,2.8
344,Camber,3.6,"['VA', 'VA', 'VA', 'AL', 'MD', 'FL', 'MD', 'TX']","Huntsville, AL",1001 to 5000 employees, $100 to $500 million (USD) per year,0,0,2.6
345,Avid Technology,3.6,"['MA', 'MA', 'CA', 'Canada', 'NY', 'MA']","Burlington, MA",1001 to 5000 employees, $500 million to $1 billion (USD) per year,0,1,3
346,Cloudera,3.6,"['GA', 'TX', 'WA', 'MA', 'NY', 'IL', 'Mexico', 'CA', 'VA', 'FL', 'Mexico', 'NH', 'NY', 'CA', 'TX', 'NC', 'CA', 'CA', 'CA', 'Canada', 'VA', 'DC']","Palo Alto, CA",1001 to 5000 employees, $100 to $500 million (USD) per year,1,1,3.1
347,NICE inContact,3.6,"['OH', 'UT', 'UT', 'UT', 'UT']","Sandy, UT",1001 to 5000 employees, $500 million to $1 billion (USD) per year,0,1,2.8
348,iSoftStone,3.6,"['WA', 'NY']","Beijing, Beijing (China)",1001 to 5000 employees, $100 to $500 million (USD) per year,0,0,2.7
349,FICO,3.5,"['MN', 'TX', 'IL', 'CO', 'VA', 'MN', 'NY', 'MN', 'MN', 'CA', 'CA', 'CA', 'CA']","San Jose, CA",1001 to 5000 employees, $500 million to $1 billion (USD) per year,0,1,3
350,Snap,3.5,"['IL', 'CA', 'CA', 'CA', 'NY', 'CA', 'CA', 'WA', 'Canada', 'CA']","Santa Monica, CA",1001 to 5000 employees, Unknown / Non-Applicable,0,0,3
351,NICE inContact,3.6,"['OH', 'UT', 'UT', 'UT', 'UT']","Sandy, UT",1001 to 5000 employees, $500 million to $1 billion (USD) per year,0,1,2.8
352,Risk Management Solutions,3.8,"['WA', 'Bermuda', 'NJ', 'CO', 'FL', 'CA', 'IL', 'FL']","Newark, CA",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,3
353,Bristlecone,3.6,"['TX', 'CA', 'NY', 'CA']","San Jose, CA",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.9
354,FICO,3.5,"['MN', 'TX', 'IL', 'CO', 'VA', 'MN', 'NY', 'MN', 'MN', 'CA', 'CA', 'CA', 'CA']","San Jose, CA",1001 to 5000 employees, $500 million to $1 billion (USD) per year,0,1,3
355,Unify,3.6,"['GA', 'FL', 'TX', 'VA', 'Canada', 'Canada']","Munich, Bayern (Germany)",1001 to 5000 employees, $1 to $2 billion (USD) per year,0,1,2.5
356,iSoftStone,3.6,"['WA', 'NY']","Beijing, Beijing (China)",1001 to 5000 employees, $100 to $500 million (USD) per year,0,0,2.7
357,Amazon Lab126,3.5,"['MA', 'CA', 'CA', 'CA', 'CA', 'CA', 'WA', 'CA']","Sunnyvale, CA",1001 to 5000 employees, $50 to $100 million (USD) per year,0,1,3.1
358,NAVEX Global,3.5,"['GA', 'OR', 'NC', 'GA', 'OR', 'GA', 'KS', 'OR', 'ID']","Lake Oswego, OR",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.8
359,Lexmark International,3.5,"['VA', 'MA', 'CO', 'IL', 'TX', 'KS', 'KY', 'KY', 'CO', 'DC']","Lexington, KY",10000+ employees, $2 to $5 billion (USD) per year,0,1,2.8
360,Cvent,3.5,"['GA', 'TX', 'IL', 'TX', 'UT', 'Canada', 'MA', 'PA', 'AZ', 'OR', 'CA', 'VA', 'Canada', 'DC']","Tysons, VA",1001 to 5000 employees, $500 million to $1 billion (USD) per year,0,1,2.8
361,NCI,3.5,"['VA', 'MD', 'CO', 'VA', 'NC', 'AZ', 'MD', 'MD', 'VA', 'MA', 'VA', 'TN', 'VA', 'NY', 'TX', 'AZ']","Reston, VA",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.2
362,Birlasoft,3.5,"['IN', 'NJ', 'CA', 'Canada', 'NC', 'Canada']",Pune (India),5001 to 10000 employees, $100 to $500 million (USD) per year,0,1,3
363,Lexmark International,3.5,"['VA', 'MA', 'CO', 'IL', 'TX', 'KS', 'KY', 'KY', 'CO', 'DC']","Lexington, KY",10000+ employees, $2 to $5 billion (USD) per year,0,1,2.8
364,Quinnox,3.5,"['IL', 'TX']","Chicago, IL",1001 to 5000 employees, Unknown / Non-Applicable,0,0,2.9
365,IDC (International Data Corporation),3.5,"['MA', 'CA']","Framingham, MA",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.6
366,2U,3.5,"['VA', 'FL', 'NY', 'NC', 'CO', 'MD', 'MD', 'CA', 'AZ', 'DC']","Lanham, MD",1001 to 5000 employees, $100 to $500 million (USD) per year,1,1,2.7
367,TiVo,3.5,"['CA', 'MI', 'MA', 'CA', 'NC', 'CO', 'CA', 'NY', 'TX', 'CA', 'CA', 'CA', 'OK', 'PA']","San Jose, CA",1001 to 5000 employees, $500 million to $1 billion (USD) per year,0,1,2.7
368,Synchronoss,3.5,"['NJ', 'NJ']","Bridgewater, NJ",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.9
369,Genpact,3.5,"['GA', 'MI', 'NC', 'IL', 'OH', 'TX', 'OH', 'TX', 'TX', 'CA', 'NY', 'Canada', 'CA', 'VA', 'TX', 'CA', 'NJ', 'PA']","New York, NY",10000+ employees, $2 to $5 billion (USD) per year,0,1,2.8
370,TiVo,3.5,"['CA', 'MI', 'MA', 'CA', 'NC', 'CO', 'CA', 'NY', 'TX', 'CA', 'CA', 'CA', 'OK', 'PA']","San Jose, CA",1001 to 5000 employees, $500 million to $1 billion (USD) per year,0,1,2.7
371,Forescout Technologies,3.5,"['CA', 'TX', 'NY', 'CA', 'DC']","San Jose, CA",1001 to 5000 employees, Unknown / Non-Applicable,0,1,2.7
372,Renaissance Learning,3.5,"['MN', 'WI', 'MN', 'CA', 'WI', 'WI', 'WI']","Wisconsin Rapids, WI",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.9
373,HCL,3.5,"['NC', 'MO', 'NY']",NA,NA,NA,NA,NA,NA
374,UiPath,3.5,"['GA', 'TX', 'NY', 'Mexico', 'TX', 'NY', 'CA', 'WA', 'Canada', 'VA']","New York, NY",1001 to 5000 employees, Unknown / Non-Applicable,0,0,2.9
375,Kanbay International,4.7,United States,NA,NA,NA,NA,NA,NA
376,Slack,4.5,"['IL', 'CO', 'NY', 'CA', 'Canada', 'Canada']","San Francisco, CA",1001 to 5000 employees, Unknown / Non-Applicable,1,1,3
377,Nextiva,4.4,"['AZ', 'AZ', 'AZ', 'AZ']","Scottsdale, AZ",501 to 1000 employees, Unknown / Non-Applicable,1,1,2.7
378,Palantir Technologies,3.9,"['CA', 'VA', 'NY', 'Canada', 'CA', 'WA', 'DC']","Palo Alto, CA",1001 to 5000 employees, $1 to $2 billion (USD) per year,0,0,3.2
379,American Systems,3.9,"['VA', 'VA', 'VA', 'VA', 'VA', 'MD', 'VA', 'FL', 'VA', 'VA', 'CA']","Chantilly, VA",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.5
380,Palantir Technologies,3.9,"['CA', 'VA', 'NY', 'Canada', 'CA', 'WA', 'DC']","Palo Alto, CA",1001 to 5000 employees, $1 to $2 billion (USD) per year,0,0,3.2
381,Cray,3.8,"['MN', 'WI', 'CA', 'MN', 'MN', 'WA']","Seattle, WA",1001 to 5000 employees, $500 million to $1 billion (USD) per year,0,0,2.9
382,ESPN,3.7,"['CT', 'CA', 'NC', 'IL', 'CA', 'NY', 'WA', 'CT']","Bristol, CT",1001 to 5000 employees, $500 million to $1 billion (USD) per year,1,1,3
383,GCI,3.7,"['AK', 'AK']","Anchorage, AK",1001 to 5000 employees, $500 million to $1 billion (USD) per year,0,0,2.9
384,Golf Galaxy,3.7,"['MN', 'CO', 'MN', 'FL', 'CO']","Coraopolis, PA",1001 to 5000 employees, $100 to $500 million (USD) per year,0,0,1.9
385,Gateway,3.6,"7565 Irvine Center Dr # 150 Irvine, California, 92618-4933, United States","Irvine, CA",1001 to 5000 employees, $100 to $500 million (USD) per year,0,0,2.7
386,eClinicalWorks,3.5,"['MA', 'MA']","Westborough, MA",1001 to 5000 employees, $100 to $500 million (USD) per year,0,0,2.7
387,American IT Associates,5.0,United States,NA,NA,NA,NA,NA,NA
388,Orian Engineers,5.0,United States,NA,NA,NA,NA,NA,NA
389,Digital Prospectors,4.9,"['MA', 'NH', 'MA', 'MA', 'NH']","Exeter, NH",51 to 200 employees, $50 to $100 million (USD) per year,1,1,2.7
390,iconsoft,4.9,United States,NA,NA,NA,NA,NA,NA
391,SalesLoft,4.9,"['GA', 'Mexico', 'IN', 'NY', 'CA']","Atlanta, GA",201 to 500 employees, $25 to $50 million (USD) per year,1,1,3.4
392,Fabergent USA,4.9,"['NJ', 'NY']","Mahwah, NJ",51 to 200 employees, $5 to $10 million (USD) per year,0,0,2
393,Pariveda Solutions,4.9,"['GA', 'WA', 'IL', 'TX', 'CA', 'TX', 'CA', 'NY', 'PA', 'CA', 'WA']","Dallas, TX",501 to 1000 employees, $100 to $500 million (USD) per year,1,1,3.2
394,Sprout Social,4.9,"['IL', 'WA']","Chicago, IL",501 to 1000 employees, $50 to $100 million (USD) per year,1,1,3.1
395,PayJunction,4.8,"['TX', 'CA', 'CA']","Santa Barbara, CA",51 to 200 employees, Unknown / Non-Applicable,1,1,2.6
396,Camelot Integrated Solutions,4.8,United States,NA,NA,NA,NA,NA,NA
397,WillowTree,4.8,"['VA', 'OH', 'NC', 'NY']","Charlottesville, VA",201 to 500 employees, $25 to $50 million (USD) per year,1,1,3.3
398,Asana,4.8,"['NY', 'CA', 'Canada']","San Francisco, CA",501 to 1000 employees, Unknown / Non-Applicable,1,1,3.1
399,vCom Solutions,4.8,United States,"San Ramon, CA",51 to 200 employees, $25 to $50 million (USD) per year,1,1,3.1
400,vCom Solutions,4.8,United States,"San Ramon, CA",51 to 200 employees, $25 to $50 million (USD) per year,1,1,3.1
401,C3.ai,4.8,"['IL', 'CA', 'CA']","Redwood City, CA",201 to 500 employees, $100 to $500 million (USD) per year,1,1,3.2
402,Sage Intacct,4.7,United States,"San Jose, CA",501 to 1000 employees, Unknown / Non-Applicable,1,1,2.9
403,TSheets,4.7,"['ID', 'ID']","Eagle, ID",201 to 500 employees, Unknown / Non-Applicable,0,1,3
404,411 Locals,4.7,"['NV', 'NV']","Las Vegas, NV",201 to 500 employees, $5 to $10 million (USD) per year,0,1,4.4
405,Weave,4.7,2000 W Ashton Blvd ,"Lehi, UT",501 to 1000 employees, Unknown / Non-Applicable,1,1,2.5
406,SADA Systems,4.7,"['GA', 'TX', 'IL', 'CO', 'CA', 'NY', 'CA', 'CA', 'WA']","North Hollywood, CA",201 to 500 employees, $100 to $500 million (USD) per year,0,1,3
407,WP Engine,4.7,"['TX', 'NE', 'TX', 'CA']","Austin, TX",501 to 1000 employees, Unknown / Non-Applicable,0,1,2.6
408,Premier IT Solutions,4.6,"['TX', 'TX']",NA,NA,NA,NA,NA,NA
409,SendGrid,4.6,"['CA', 'CO', 'CO', 'CA', 'CA', 'CA']","Denver, CO",201 to 500 employees, $100 to $500 million (USD) per year,1,1,2.7
410,Mavenlink,4.6,"['MA', 'CA', 'UT', 'CA']","Irvine, CA",201 to 500 employees, Unknown / Non-Applicable,1,1,2.6
411,SeatGeek,4.5,"['SC', 'NY', 'OR']","New York, NY",201 to 500 employees, Unknown / Non-Applicable,1,1,2.9
412,Tekstrom,4.6,United States,"Wilmington, DE",1 to 50 employees, $10 to $25 million (USD) per year,0,0,NA
413,Ping Identity,4.6,"['TX', 'MA', 'CO', 'CA', 'Canada', 'MA']",NA,NA,NA,NA,NA,3.1
414,Wonolo,4.6,"['CA', 'TN', 'CA']","Denver, CO",501 to 1000 employees, $100 to $500 million (USD) per year,0,1,3
415,Premier IT Solutions,4.6,"['TX', 'TX']","San Francisco, CA",51 to 200 employees, Unknown / Non-Applicable,0,1,NA
416,Apolis,4.6,"['MA', 'IL', 'CA', 'NJ', 'CA', 'CA', 'CA', 'FL', 'MN', 'CA', 'NY', 'IL', 'CA', 'CA', 'CA']",NA,NA,NA,NA,NA,2.4
417,Health Catalyst,4.6,"['UT', 'UT']","El Segundo, CA",201 to 500 employees, $50 to $100 million (USD) per year,0,0,3
418,Dotcom Team,4.6,"['MA', 'MA', 'NC', 'MA', 'PA', 'MA']","Salt Lake City, UT",501 to 1000 employees, $100 to $500 million (USD) per year,1,1,3
419,Surya Systems,4.6,United States,"Braintree, MA",201 to 500 employees, $25 to $50 million (USD) per year,0,0,NA
420,EAI Technologies,4.5,"1945 Old Gallows Rd, Suite 310 ",NA,NA,NA,NA,NA,2.5
421,DiscoverOrg,4.6,"['WA', 'MD', 'PA', 'WA']","Vienna, VA",1 to 50 employees, $5 to $10 million (USD) per year,0,0,2.6
422,Lever,4.6,155 5th St. ,"Vancouver, WA",501 to 1000 employees, $100 to $500 million (USD) per year,0,1,3.1
423,Software Pundits,4.6,United States,"San Francisco, CA",51 to 200 employees, Unknown / Non-Applicable,1,1,NA
424,Turo,4.6,"['AZ', 'CA', 'AZ', 'Canada']",NA,NA,NA,NA,NA,2.8
425,Duo Security,4.6,"['MI', 'TX', 'MI', 'CA', 'CA']","San Francisco, CA",201 to 500 employees, Unknown / Non-Applicable,1,1,2.8
426,ScienceLogic,4.5,['VA'],"Ann Arbor, MI",501 to 1000 employees, $100 to $500 million (USD) per year,0,1,2.9
427,LogicMonitor,4.5,"['TX', 'MA', 'NY', 'CA']","Reston, VA",201 to 500 employees, $50 to $100 million (USD) per year,0,1,3
428,AGS,4.5,"['GA', 'TX', 'GA', 'NV', 'Mexico', 'NY', 'OK', 'NV']","Santa Barbara, CA",501 to 1000 employees, Unknown / Non-Applicable,1,1,2.6
429,TSP,4.4,United States,"Las Vegas, NV",501 to 1000 employees, $100 to $500 million (USD) per year,1,1,2.4
430,BambooHR,4.5,"['UT', 'UT', 'UT', 'UT']","Dallas, TX",501 to 1000 employees, $25 to $50 million (USD) per year,0,1,3.2
431,BirdEye,4.5,"['TX', 'TX', 'CA', 'CA']","Lindon, UT",201 to 500 employees, Unknown / Non-Applicable,1,1,2.7
432,Technology Consultants (Michigan),4.5,United States,"Palo Alto, CA",201 to 500 employees, $25 to $50 million (USD) per year,0,1,NA
433,FlexTrade Systems Inc.,4.4,"['NY', 'NY']",NA,NA,NA,NA,NA,3
434,SkillStorm,4.5,"['GA', 'NC', 'IL', 'TX', 'FL', 'OH', 'IN', 'FL', 'TX', 'NY', 'PA', 'TX', 'VA', 'CA', 'AZ']","Great Neck, NY",501 to 1000 employees, Unknown / Non-Applicable,0,1,2.6
435,Netvision Resources,4.5,United States,"Fort Lauderdale, FL",501 to 1000 employees, Unknown / Non-Applicable,1,1,NA
436,Demandbase,4.5,"['NY', 'CA', 'WA']",NA,NA,NA,NA,NA,3
437,Surescripts,4.5,"['VA', 'OR', 'VA', 'OR', 'MN', 'OR', 'NC']","San Francisco, CA",201 to 500 employees, $100 to $500 million (USD) per year,1,1,3
438,System Soft Technologies,4.5,"['TX', 'FL']","Arlington, VA",501 to 1000 employees, Unknown / Non-Applicable,0,0,NA
439,CB Insights,4.5,"498 Seventh Avenue, 17th Floor ",NA,NA,NA,NA,NA,3
440,System Soft Technologies,4.5,"['TX', 'FL']","New York, NY",51 to 200 employees, $25 to $50 million (USD) per year,1,1,NA
441,TSP,4.4,United States,NA,NA,NA,NA,NA,2.4
442,CB Insights,4.5,"498 Seventh Avenue, 17th Floor ","Dallas, TX",501 to 1000 employees, $25 to $50 million (USD) per year,0,1,3
443,ComTec Consultants,4.4,United States,"New York, NY",51 to 200 employees, $25 to $50 million (USD) per year,1,1,3.1
444,FieldEdge,4.4,"['GA', 'FL', 'NY']","Dallas, TX",51 to 200 employees, $25 to $50 million (USD) per year,0,0,3.4
445,Liferay,4.4,"['IL', 'CA', 'OH', 'CA', 'Canada', 'NC']","Fort Myers, FL",51 to 200 employees, $25 to $50 million (USD) per year,1,1,2.7
446,FlexTrade Systems Inc.,4.4,"['NY', 'NY']","Diamond Bar, CA",501 to 1000 employees, Unknown / Non-Applicable,0,1,3
447,Techstar Consulting,4.4,"['GA', 'TX', 'TX', 'NV']","Great Neck, NY",501 to 1000 employees, Unknown / Non-Applicable,0,1,2
448,QTS,4.4,"['VA', 'GA', 'TX', 'VA', 'GA', 'TX', 'NJ', 'KS', 'GA']","Irving, TX",201 to 500 employees, $25 to $50 million (USD) per year,0,0,2.4
449,Conductor,4.4,"['NY', 'CA']","Overland Park, KS",501 to 1000 employees, $100 to $500 million (USD) per year,0,1,2.9
450,Greenhouse Software,4.5,"['CO', 'NY', 'CA']","New York, NY",201 to 500 employees, $25 to $50 million (USD) per year,0,1,3.2
